Contact ID,Title,Last Name,First Name,Middle Name,Company,Suffix,Billing Email,Phone,Street 1,Street 2,City,State/Providence,ZIP/Postal Code,Country,Member ID,Campaign Title,Form Title,Net Transaction Amount,Transaction Date,Gift Type,Temple Name,Designee 1 Administrative Name,Origin of Gift,Payment Method,Settlement Status,Billing Last Name,Billing First Name,Billing Middle Name,Billing Suffix,Billing Street1,Billing Street2,Billing City,Billing State,Billing Zip,Billing Phone,Is Honor Gift,Tribute First Name,Tribute Last Name,Sender Title,Sender First Name,Sender Last Name,Sender Address 1,Sender Address 2,Sender City,Sender State,Sender Zip,Sender Country,Source Code Type,Source Code Text,Sub Source Code Text,Name of Staff Member,Donation Comment,Store Name
,,,,,,,jpompe@classy.org,,,,,,,,,2nd Annual National Kickball Championship Presented by VAVi Sport & Social Club ,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,LbyDMp4bjYaSxkSt0pJldaPchhvve6Gm,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,"Hunter's Fight Duathlon/Triathlon Sponsored by RuckPack and 4GR8 TEES      ",,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,cj00tFLIk9EvGCvpvT69gurby9eg3RQH,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,5th Annual StayClassy PB Pub Crawl,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,eIj2uUwabhchbugToMsptUpccG7HLa3V,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,Stay Classy Tailgate,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,ivSzdV2tZNZgI2Hm45qbTg9d6fG5j5tT,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,5th Annual StayClassy PB Pub Crawl,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,DOVunnPo0byxDjnAbcoIRzRGWrCfAQFb,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,2nd Annual National Kickball Championship Presented by VAVi Sport & Social Club ,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,os0GjE4x7Pl4ZhNeQNM7xgANL0DM7UA1,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,"Hunter's Fight Duathlon/Triathlon Sponsored by RuckPack and 4GR8 TEES      ",,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,pCywZSRCQuIn6IWxS88vABCnOG42yKKK,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,Stay Classy Tailgate,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,MsJnYUoSpRgrrHiNEDt86LfxzV6JjIMB,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,"Hunter's Fight Duathlon/Triathlon Sponsored by RuckPack and 4GR8 TEES      ",,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,vj93UR4ajwf9fFCzOEK9ro45QCid1Hp7,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,Rock and Roll Happy Time,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,7OEqkIFBZhcQepKyBAn8dvFtUcaX0v9K,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,5th Annual StayClassy PB Pub Crawl,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,Es4N3P2VXYPL3uN7BWQzoVAcwgrabvd1,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,5th Annual StayClassy PB Pub Crawl,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,OMRn8bbRNqHb4WaCB7nPvIwBvEuwfXbw,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,Stay Classy Tailgate,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,IlEiKr1GLuqpRE53Dr3EYgXJbR7rZUNb,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,Rock and Roll Happy Time,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,XQOKSe8OOkMFZfNBYYAH9nXnY8ut8lPA,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,Hunters Fight Duathlon/Triathlon Sponsored by RuckPack and 4GR8 TEES         ,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,DUJNBbRDtawuDRKOHk13tR2vF9BFIfk1,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,Rock and Roll Happy Time,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,DUuhr6WGNOXZ5OKWYt0XPr07aROSqKx5,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,Rock and Roll Happy Time,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,ybWGl0IS0xdm0jwdU5z7xzPYbJfjVoSF,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,2nd Annual National Kickball Championship Presented by VAVi Sport & Social Club ,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,deZ7nqQiihVAxrIES5EC8SdKaCGsHOcv,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,Hunters Fight Duathlon/Triathlon Sponsored by RuckPack and 4GR8 TEES         ,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,tGKBVVkzVdwDHQP0JEltUp2y7MDp86yK,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,5th Annual StayClassy PB Pub Crawl,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,ld39CDZkSmUHsWyrVjgHOu9ZNFLkheiA,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,Rock and Roll Happy Time,,0.00,01/27/2017,Standard,,,,,,,,,,,,,,,,,Yu7MqcGACCYcwSBlMXBhTB9MQedIJTZ2,,,,,,,,,,,,,,,,
